game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
7051,"Kampfpanzer: Armored Combat, 1937-40",Wargame,107,104,104,0.005998385050178798,0.005998385050178798,0.002590293729534236,0.002590293729534236,17338,40922,17234,0.18613861386138614
7255,Soldiers: Man-to-Man Combat in World War II,Wargame,103,88,88,0.005075556580920521,0.005075556580920521,0.002443673329749279,0.002443673329749279,17338,40922,17250,0.09504950495049505
7479,WarCraft: The Board Game,Wargame,2633,1013,972,0.05842657745991464,0.056061829507440306,0.038390108010361176,0.03650847954645423,17338,40922,16366,0.9198019801980198
7480,"Sword of Rome: Conquest of Italy, 362-272 BC",Wargame,1648,1425,1409,0.08218941054331526,0.08126658207405699,0.03853672841014613,0.03809686721079126,17338,40922,15929,0.9475247524752475
7636,"Marita-Merkur: The Campaign in the Balkans, 1940-41",Wargame,101,91,91,0.005248586918906448,0.005248586918906448,0.0024681100630467717,0.002443673329749279,17338,40922,17247,0.10742574257425742
7639,Their Finest Hour,Wargame,116,107,107,0.006171415388164725,0.006171415388164725,0.002761350862616685,0.0027369141293191925,17338,40922,17231,0.21163366336633663
7774,Striker,Wargame,119,106,105,0.006113738608836083,0.00605606182950744,0.002810224329211671,0.002810224329211671,17338,40922,17233,0.1952970297029703
7828,Eagles of the Empire: Preussisch-Eylau,Wargame,132,129,129,0.007440304533394855,0.007440304533394855,0.003176775328674063,0.003176775328674063,17338,40922,17209,0.33292079207920794
7970,Arctic Storm: The Russo-Finnish Winter War 1939-40,Wargame,152,141,141,0.008132425885338563,0.008132425885338563,0.0036899467279214115,0.0036655099946239188,17338,40922,17197,0.37896039603960396
9237,Perryville,Wargame,109,105,105,0.00605606182950744,0.00605606182950744,0.0026391671961292214,0.0026147304628317287,17338,40922,17233,0.1952970297029703
9346,Daimyo,Wargame,243,128,126,0.007382627754066213,0.007267274195408928,0.004496358926738673,0.004447485460143688,17338,40922,17212,0.31633663366336634
12459,Fortress Berlin,Wargame,153,141,140,0.008132425885338563,0.00807474910600992,0.0036899467279214115,0.0036899467279214115,17338,40922,17198,0.375
12567,Russia Besieged,Wargame,140,130,127,0.007497981312723497,0.00732495097473757,0.0033722691950540053,0.0033478324617565126,17338,40922,17211,0.32054455445544555
12891,Friedrich: Anniversary Edition,Wargame,2874,2117,2061,0.12210174183873572,0.11887184219633176,0.06253360050828405,0.06123845364351693,17338,40922,15277,0.9707920792079208
12899,La Bataille de Preussisch-Eylau,Wargame,149,141,141,0.008132425885338563,0.008132425885338563,0.003641073261326426,0.003616636528028933,17338,40922,17197,0.37896039603960396
16162,Target Arnhem: Across 6 Bridges,Wargame,415,339,336,0.019552428192409734,0.01937939785442381,0.009505889252724695,0.009408142319534725,17338,40922,17002,0.7408415841584158
